Row Labels,Sum of APR20,Sum of MAY20,Sum of JUN20,Sum of JUL20,Sum of AUG20,Sum of SEP20,Sum of OCT20,Sum of NOV20,Sum of DEC20,Sum of JAN21,Sum of FEB21,Sum of MAR21,Sum of APR21,Sum of MAY21,Sum of JUN21,Sum of JUL21,Sum of AUG21,Sum of SEP21,Sum of OCT21,Sum of NOV21,Sum of DEC21,Sum of JAN22,Sum of FEB22,Sum of MAR22,Sum of APR22,Sum of MAY22,Sum of JUN22,Sum of JUL22
"Aberdeen-Bel Air South-Bel Air North, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abilene, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Akron, OH",222006,203535,222161,231375,240618,262951,281726,246445,238847,229603,222423,280082,270011,255775,264621,263142,291693,360190,361071,328769,302876,280906,305308,360079,341105,331705,323638,34827
"Albany, GA",27403,29017,39574,42439,45188,46185,54652,39212,30337,30854,29112,31941,29509,25540,26291,24472,31480,32381,31665,25394,20912,22722,897,1038,1020,,,
"Albany-Schenectady, NY",575380,728474,870604,1032740,993323,904524,909182,805303,765628,722760,712452,886016,890744,868772,870455,893505,947410,1111747,1123831,1032346,979749,851059,895379,1124289,,,,
"Albuquerque, NM",321759,312922,345066,380114,343849,360051,389576,303708,285040,284061,283711,372946,377303,368399,399560,433362,438709,434283,487264,458996,425689,458579,439984,503705,473996,518203,538065,568741
"Alexandria, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allentown, PA-NJ",150063,184232,233366,248050,247987,250897,262665,228461,209386,212436,169304,251455,240076,233735,232945,233008,224895,230489,258982,239646,244024,206248,221677,265281,268616,277921,278607,240992
"Altoona, PA",18379,21598,26387,25375,24696,30346,33649,26150,22530,20764,20970,30353,31324,28040,25954,30843,35046,39468,40075,37825,35619,33883,35264,42041,40153,36789,28684,
"Amarillo, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ames, IA",23143,26614,32959,32514,188703,236608,236142,163937,39026,115317,261304,274971,226701,74003,62805,57229,256236,486222,449085,360450,233178,284575,462800,390474,419582,235603,91246,
"Anchorage, AK",53780,16863,137226,170584,159580,155445,156386,127576,142361,142712,144818,173671,187274,190576,249080,254032,259842,214420,200246,166323,177175,171712,176780,225809,233911,258165,308806,298030
"Anderson, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ann Arbor, MI",109400,104743,140853,167463,227958,296601,283510,220471,189965,214460,218802,260711,253408,222402,242086,258273,407584,992258,795218,779189,523348,753768,728556,816180,718742,406481,422400,269325
"Antioch, CA",66778,66002,74365,77793,75794,77801,80739,70609,76956,59441,58197,69300,71142,69671,70792,80716,89877,102522,91255,83811,87849,75362,72088,88442,85483,90821,85973,78338
"Appleton, WI",28285,31188,44036,44932,43956,47490,47628,42994,45702,46053,43811,55026,56034,53623,52419,50885,52412,61937,62834,63041,60291,55763,57961,54923,65197,64300,57474,53742
"Asheville, NC",40108,91821,110252,119517,119901,143740,151229,139586,125262,126448,118326,111886,111877,115279,141470,145535,153690,144434,155310,134564,143242,159139,100480,115733,111782,111981,112704,106255
"Athens-Clarke County, GA",73917,95697,112113,43956,111823,161182,156726,126459,76880,142380,177418,190546,169205,79293,81108,96668,362726,502990,402741,365095,214151,85803,94846,93794,97487,70885,62908,65603
"Atlanta, GA",3424950,3478677,4031942,4321527,4503605,4037643,4144977,3838289,3731392,3673532,3571181,4109051,4173800,4396275,4493921,4566756,4660705,5037558,5210740,4859546,4354775,4168866,4152581,4874856,4876322,5102927,5080790,5041374
"Atlantic City, NJ",1990,2456,2431,2887,2775,3356,3334,2855,3355,3006,2579,3436,3305,3019,3558,3262,3583,5588,6021,5521,5898,5068,5419,6826,5901,6397,6364,6123
"Auburn, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Augusta-Richmond County, GA-SC",34164,50214,56118,58827,63665,57431,58469,65050,66056,49560,50152,43528,62444,48695,51439,43556,36479,34816,39184,35095,35261,31480,34107,38683,36523,36186,32677,
"Austin, TX",1077383,1230158,1210496,1183879,1256042,1318599,1425508,1325261,1275590,1263407,965880,1429235,1412663,1419432,1503915,1570498,1550958,1673532,1927390,1633986,1492159,1368680,1372951,1750832,1742242,1748390,1690733,1690631
"Bakersfield, CA",201479,213902,221514,242341,232688,254143,252255,219237,240955,224789,209113,231125,252678,249874,253238,248030,268495,366705,283765,249072,233280,265771,237157,263201,269314,262003,255184,
"Baltimore, MD",2825429,2872969,3335236,3904313,4022735,3919645,4176757,3584070,3350953,3227696,2817834,3557827,3688652,3607853,3682360,3912998,3728197,4540551,4703156,4483018,4465637,3668450,3764413,4520359,4448353,4717702,4559066,52399
"Bangor, ME",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barnstable Town, MA",56917,145608,327565,584971,651410,477305,346158,227401,196072,176371,169689,222075,300080,430134,593749,667540,640670,461577,356984,253461,225683,150914,161269,204066,289553,400945,496297,515140
"Baton Rouge, LA",83928,94171,107249,105539,119299,142449,143374,121429,110635,104751,88371,108055,97313,94055,96645,94058,93139,86638,99994,100760,98285,,,,,,,
"Battle Creek, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bay City, MI",2571,2885,3553,5096,8959,5689,11263,7362,4089,4115,4639,5718,5318,5246,5531,11737,14161,17778,18355,17843,17751,16779,16839,20425,19371,18609,19943,19216
"Beaumont, TX",21131,22717,24679,25664,23076,27807,29995,28478,30307,29926,26041,37764,31013,29534,17262,20189,19878,18346,20707,19073,20412,17319,17290,19153,18407,19445,21883,20323
"Bellingham, WA",74943,82376,94479,101157,106113,106138,125066,108897,107720,109156,109250,131854,135196,130816,137101,127354,129244,185454,269171,225273,174533,209629,251345,253332,287565,284689,216055,185697
"Beloit, WI-IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bend, OR",13005,9546,19989,24601,22608,22773,26134,21608,26299,26141,27932,30434,29416,27664,43914,62235,49363,28288,26502,24419,29017,32010,32394,36369,34073,30204,38737,65246
"Benton Harbor-St. Joseph-Fair Plain, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Billings, MT",17501,20578,20376,20241,19791,27943,26597,25148,25255,26209,26301,30926,29600,26746,23036,21722,23833,31108,29997,29768,28232,27827,28397,32240,28991,30155,25180,21823
"Binghamton, NY-PA",57708,58220,65734,66412,76156,83849,77499,66647,60776,57592,65509,80328,78864,70130,68786,70123,100934,106211,107429,98198,89956,77158,91609,104355,95605,95170,81647,75622
"Birmingham, AL",123363,131204,160709,169777,186364,183832,191776,185304,146667,110152,98952,118616,120616,126022,131215,143996,139659,144108,138194,136860,147721,132237,131574,152858,146750,150059,153351,182534
"Bismarck, ND",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blacksburg, VA",10622,11499,15229,18308,53046,100303,102601,73384,22147,48147,90449,109950,103932,54434,34057,32895,226463,500405,450590,332165,180008,234626,402965,344903,374187,135900,52729,49046
"Bloomington, IN",32327,34798,48390,51041,65559,90371,90797,69715,54290,55070,67830,92723,86305,64094,63301,59684,139595,216192,200247,166782,118664,153706,171877,176210,179437,83885,77225,69286
"Bloomington-Normal, IL",89550,91443,114384,121920,140403,137108,143133,128068,115942,118809,112855,145315,143453,127640,115752,113798,167292,176210,179546,157117,121260,78701,151821,174824,169245,125401,123955,118785
"Boise City, ID",81356,85990,95421,102464,93976,98548,98860,82789,84351,83137,78755,89140,80676,89358,83296,81711,85557,90712,92111,88243,86462,88904,88989,104395,98845,98218,96426,81076
"Bonita Springs, FL",31007,41169,48164,51142,49203,47802,53619,47216,53536,54063,52523,59901,56240,55400,54015,53641,54260,54995,62610,57002,57946,56186,56831,65669,63468,64067,63914,65900
"Boston, MA-NH-RI",4413091,5186039,7315829,9215649,9628630,10516271,10822024,9750608,9103726,8736607,8477581,10522227,11069608,12490736,14242910,14343746,15008724,17568010,18605666,16838320,15638382,12728891,14141176,18198979,17974675,18691357,19104845,18190217
"Boulder, CO",1683,2387,3036,6096,6153,6275,6790,6165,6756,6527,6929,8850,9059,9148,9505,9373,9814,9654,10823,9476,10254,7920,7771,9611,9015,9006,9144,9010
"Bowling Green, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bremerton, WA",88676,97880,129668,147128,146573,135403,139994,115133,118350,107679,106944,137641,139197,134778,149871,161227,169080,169093,162219,152581,135023,138683,145184,182600,182433,181919,196851,198174
"Bridgeport-Stamford, CT-NY",255047,296925,428839,487666,517746,558928,544963,454036,423313,392948,346652,475253,481170,497867,528549,545654,558697,621422,588051,566892,556273,463016,490960,601910,694827,761286,826367,831735
"Brownsville, TX",26708,42596,45595,38636,40536,41808,48101,44682,46105,43303,37291,52778,53259,52944,54957,51055,65872,72433,78008,79852,82963,71295,78233,93896,93866,96180,86380,
"Buffalo, NY",886586,969121,1166309,1008464,1006318,1031785,1033447,871767,828036,769906,768925,978563,949700,962268,997525,1053168,1079223,1326983,1325046,1172548,1120540,952886,957374,1280271,1137699,1236130,1175225,1141117
"Burlington, VT",68274,72587,97810,103185,108576,132916,140018,114243,107544,106488,109855,138364,132854,130943,121870,117865,129150,177183,189202,166474,164266,178893,178448,168841,132069,147640,,
"Canton, OH",78585,72443,105327,106772,107163,108702,112813,89485,84339,88210,81443,101221,90853,90540,98778,99082,132722,99517,107326,98696,95204,83451,83992,104633,103115,94603,106733,100658
"Cape Coral, FL",61902,80068,129527,146801,156580,128554,140772,126509,140520,164690,183460,227583,186643,139908,136195,131435,131939,129339,148458,155519,215608,200399,227285,292806,239597,149767,146339,143132
"Carbondale, IL",19714,21108,26285,27321,32137,40187,43857,34813,30208,35099,35163,49720,49948,43722,44808,46741,56389,61728,64317,59971,49549,51692,51612,66518,59252,54449,55111,47990
"Casper, WY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cedar Rapids, IA",2797,12983,39641,42689,31784,47622,55213,46258,50060,45391,42811,56300,53416,46366,52852,50182,55042,62248,64049,65149,60952,55162,59036,71143,70205,70897,69766,70585
"Champaign, IL",169727,168484,201092,225884,266366,296693,343572,279871,213964,252160,314288,368353,359951,288349,262333,260832,567466,850702,822799,678046,501612,506446,766278,765120,813098,477568,317364,290113
"Charleston, WV",62802,71872,91669,83514,81693,84280,86462,78135,77349,71994,69677,96079,91629,77328,85683,82409,86780,82496,80815,83901,81323,73507,78408,91992,86244,90332,88759,79368
"Charleston-North Charleston, SC",66085,81680,115524,125945,133463,154477,169400,148360,150401,142842,140764,165899,171516,168696,174780,166619,174698,184301,196540,182422,170866,158206,158518,186865,172187,245268,196247,178383
"Charlotte, NC-SC",689312,720384,853262,783498,762205,750422,834861,761577,732971,675381,639756,735290,746492,788227,786627,817353,843633,882223,928583,871376,863872,739231,774828,998974,968810,911958,899855,923472
"Charlottesville, VA",6889,7349,8648,12546,11829,12209,13256,11780,11318,11500,9892,13999,13209,12027,14403,14994,15764,15514,15821,15454,14637,10370,14871,18056,17269,17673,17876,
"Chattanooga, TN-GA",71524,80252,99316,141369,133665,124115,140479,119314,116039,109713,101819,130706,125294,145553,181831,210649,151859,128220,142272,125172,118292,79534,84236,101407,99979,97055,102509,
"Cheyenne, WY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chicago, IL-IN",9074074,10182691,11799943,14826027,14748330,15168774,15702966,13000616,12833384,12389041,11965474,15628106,15938313,17170417,19280465,21712845,22179623,24297660,24273883,22155287,20104850,16565897,18861599,24024654,23250854,24793013,25279880,24804301
"Chico, CA",21530,28458,29139,31026,29327,27657,33747,28935,28452,26337,28808,34098,37030,35216,35582,35261,43476,51453,49892,44738,40641,38144,47990,50479,50919,49000,41181,37795
"Cincinnati, OH-KY-IN",465584,491657,603697,666320,661081,705893,754397,668969,628100,700118,667329,953427,1023434,1021810,907453,959894,1119140,1239196,1235908,1172706,1068934,760914,827958,1026624,1023665,1050420,921898,909407
"Clarksville, TN-KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cleveland, OH",931808,1060681,1193287,1254400,1249339,1290342,1331999,1171457,1131591,1131140,1045250,1308827,1308396,1283946,1325160,1355686,1460851,1587528,1630117,1519098,1417034,1283533,1339106,1633451,1611964,1658933,1595277,1549868
"Cleveland, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coeur d'Alene, ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"College Station-Bryan, TX",9737,13697,17152,17255,17568,19508,20927,18588,21416,20356,17434,28052,24811,23696,27747,23820,29848,23702,22159,22008,21340,19059,18818,23240,22176,23929,26695,25065
"Colorado Springs, CO",136531,134276,148067,155775,159083,176232,175886,131037,125067,130072,122209,153174,160240,165711,197164,202352,193920,176066,158481,137733,132938,122876,118773,155234,169806,187630,214728,227259
"Columbia, MO",18694,18385,31725,34828,37525,40977,33738,34576,30798,30314,26357,53040,52917,44071,38981,39802,41781,108523,101931,100658,92115,76564,100379,105178,98367,101823,48462,50996
"Columbia, SC",125611,125680,147741,163534,178730,188954,207911,197190,201845,205298,182411,180711,160313,129126,119692,120342,142462,168859,147802,137200,130421,118516,122760,159672,146776,142402,131380,128870
"Columbus, GA-AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbus, OH",639907,545502,580573,667119,700016,741381,847019,783461,754845,671978,603381,749123,723650,707660,734974,774808,830105,896444,913984,861513,772006,683011,698416,873767,849824,886478,888463,874527
"Concord, CA",70078,88135,122033,133569,133184,138837,155394,123691,116354,105070,111654,139388,146269,145382,157091,159031,217803,263681,255837,232960,214944,202515,219670,273362,244608,268405,208790,202114
"Conroe-The Woodlands, TX",2029,2760,4857,8217,8833,10971,14163,13199,12491,12965,9474,18835,19056,21496,25949,28754,23871,20816,22943,23665,23746,17328,21612,38760,33520,32336,36326,34804
"Corpus Christi, TX",168750,197479,210688,196881,203185,202638,218687,195451,195007,194082,148801,211657,193192,183430,194099,196297,205368,212654,223323,211542,207948,196743,190616,222080,218436,232562,233724,234851
"Corvallis, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumberland, MD-WV-PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dallas-Fort Worth-Arlington, TX",2850122,3082839,3182739,3190364,3177658,3199341,3392650,3183172,3168771,3074876,2321173,3503637,3351150,3387799,3572812,3666705,3754134,3899953,4447152,3700593,3761768,3487376,2792293,4006907,4067639,4219085,4192533,3972933
"Danbury, CT-NY",18046,26761,29439,33046,32658,36236,36858,34204,30877,28599,24216,33922,35319,35012,36396,36654,37164,37983,39608,37858,37779,28880,32627,40196,40483,43405,48363,48746
"Danville, IL-IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Daphne-Fairhope, AL",1467,1885,3066,3416,4634,4363,5163,4022,4332,4568,4745,6778,6384,6583,6793,6530,6592,7539,7626,6925,7311,7048,7276,8397,7737,8160,8277,8066
"Davenport, IA-IL",112525,116105,148925,157775,156877,148899,151142,130969,128506,123668,118795,148301,152578,146304,155208,166360,177336,167635,165720,156493,159260,141095,148235,161190,157132,162180,150175,30358
"Davis, CA",9631,11672,17064,19679,21080,27578,36384,29610,22290,27003,27386,29757,35471,38167,36016,34938,36950,174471,303453,234470,88033,69471,211757,190988,274999,248678,116899,
"Dayton, OH",371031,412894,494468,501532,497805,490748,494681,435920,423182,406045,370617,491856,484028,472191,474920,444011,474955,489143,479158,432406,419331,371466,349988,415777,407434,423575,446526,467140
"Decatur, AL",1144,3527,7317,9368,6618,7556,7744,7303,7369,7878,9822,10932,10969,10085,11068,9036,8295,8766,,,,,,,,,,
"Decatur, IL",49589,53604,63754,71711,74565,73457,77198,66710,68490,60924,56678,70358,66434,63899,65789,67300,72920,77302,78531,75101,76927,67454,59846,80225,81559,82765,83074,73798
"DeKalb, IL",12851,13444,16411,15799,18759,33374,32431,28240,23817,28794,25490,34288,30314,21604,22721,23108,41934,82183,78378,70100,37216,44540,73679,56679,63271,40125,26315,
"Delano, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Denton-Lewisville, TX",31400,27822,40022,44356,52894,80842,85152,65585,44111,74513,62209,89935,78809,54302,59265,60932,134129,255434,237706,207471,109309,164199,181651,200236,203426,143167,140110,126492
"Denver-Aurora, CO",2887269,3096180,3478931,3404577,3471221,3433697,3555803,3060644,3054156,3062506,2831365,3422386,3530324,3729163,4131952,4469108,4654355,5012475,4987356,4537921,4481974,4246730,4099294,4852710,4938244,5050137,5502649,5191191
"Des Moines, IA",139165,134622,161758,150287,154685,151465,160625,142377,136483,138016,137112,189566,190524,182304,173024,173991,329136,231981,224570,203933,190616,171509,185918,210011,218358,233864,200392,
"Detroit, MI",544004,849894,960918,959110,1097223,1123388,973746,1002750,801177,969670,833135,1139070,1132776,1125916,1106288,1147698,976093,1158335,1224447,1106484,1182372,893686,1037763,1106945,463725,495329,501204,17562
"Dothan, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dover-Rochester, NH-ME",770,6242,13512,17474,17615,19157,20094,17480,18547,17894,17157,21944,21149,20268,21982,22384,23022,21435,22343,20961,23123,18296,19157,24502,23645,22132,22118,20737
"Dubuque, IA-IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Duluth, MN-WI",95942,111171,143851,154310,160502,158049,138214,102492,109370,100504,94497,119235,114926,110025,122576,124493,121927,142165,141557,151186,141318,134082,137253,161489,157306,154409,162878,154105
"Durham, NC",369478,331144,409694,496194,574970,555012,660436,578264,585254,608175,575555,667705,677071,662720,694102,697500,991144,1082634,872744,853685,691402,713764,819001,863351,819260,762253,765894,122719
"East Stroudsburg, PA-NJ",7795,8749,12241,15664,15428,15911,16938,13734,11998,12253,10321,17443,17060,20750,23893,26079,26558,24115,20706,19363,20307,18817,19382,25433,25363,21749,24234,22341
"Eau Claire, WI",18413,20432,26064,31022,29991,40565,39150,30175,25460,23023,39514,44789,40480,30320,27301,27726,27747,46916,52221,52342,46601,27735,63482,59701,59262,48812,31016,30090
"El Centro-Calexico, CA",14785,16162,17315,16435,16898,20708,24518,21521,21928,19032,19758,24530,25582,25081,26048,28036,32233,37375,44304,46149,50204,45710,48184,62301,46085,47009,43527,
"El Paso, TX-NM",205739,217313,258543,249020,368036,326312,339762,274475,285047,248436,286970,327889,340899,328832,307615,365378,418576,465038,446744,439626,416895,394746,416634,446338,488153,474075,443409,415372
"Elizabethtown-Radcliff, KY",3724,3801,5252,5722,5850,5756,6216,5280,5246,5713,4665,7822,7549,7301,7705,7715,7940,7920,7597,7956,7856,6751,7266,9759,8539,8936,8853,8131
"Elkhart, IN-MI",22842,26119,33993,33230,42263,38138,41926,33060,34666,34757,28176,34962,33307,29080,28907,30672,31241,25209,28730,27393,27881,22841,23225,30908,27516,30302,34203,27942
"Elmira, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Erie, PA",43328,46556,60945,80304,70223,76731,76447,63416,59625,55684,56307,74731,82002,77830,73427,89585,110899,98319,97777,88405,89621,79134,88010,106979,92507,96816,94486,99412
"Eugene, OR",237049,258158,328768,353343,367903,335826,411834,345580,348869,342165,318040,376933,377692,349516,361932,373563,360565,398246,481863,441496,388736,444661,428909,485284,496794,513461,474438,459176
"Evansville, IN-KY",32092,36208,45530,47175,50953,57620,61083,53052,56801,55817,49730,65793,61723,54206,54934,54542,62822,64938,69123,65600,62776,57431,57682,68479,66492,63186,67261,64099
"Fairbanks, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fairfield, CA",8364,9115,11366,21396,22493,24953,27683,23743,24682,22441,25050,29518,31482,29392,27574,26691,29949,33411,34011,30715,30048,29568,29239,37585,28148,28625,26919,24190
"Fargo, ND-MN",44057,47507,52473,59045,65370,79458,78065,63569,66936,104820,107863,129669,95409,80168,78737,82702,92480,117970,118241,108622,92882,91526,98956,114993,31424,29976,31292,30471
"Fayetteville, NC",118948,126726,141166,146147,149476,150800,164381,145269,143764,135751,127342,140742,133804,137772,137440,140539,140497,146523,151831,140290,146885,145812,145541,156789,148798,156919,168229,168710
"Fayetteville-Springdale-Rogers, AR-MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flagstaff, AZ",57484,64448,72315,73585,90962,110311,106846,72741,60562,66794,72504,78316,78866,62853,65323,67716,105375,152788,146941,122657,84190,109585,113215,127626,130528,85258,72737,67820
"Flint, MI",29717,60105,148195,159196,163148,167957,185411,164137,160151,162299,157677,195458,165732,157550,157132,158285,167482,202348,218303,209747,202785,190588,189194,246529,226913,231819,213623,188874
"Florence, AL",639,946,2538,2629,3371,4202,4330,3408,3186,3117,2602,3574,4172,3916,4558,5689,5143,6259,6566,5701,5592,4960,6077,6899,6571,6520,4988,4197
"Florence, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fond du Lac, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Collins, CO",68158,55983,70731,75147,93034,118311,122969,106977,86409,92758,114411,127326,106626,93387,98709,96943,139294,206425,194962,160740,125626,122961,180319,181869,180054,127525,104808,98311
"Fort Smith, AR-OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fort Walton Beach-Navarre-Wright, FL",5552,6907,9031,9624,8240,6757,8896,7555,7341,5946,5919,8322,8355,8888,8821,8700,7887,7301,7762,7735,7781,7654,7855,9281,9268,9157,9485,8352
"Fort Wayne, IN",57105,55721,83863,89291,88819,91005,97397,81938,81637,78926,74019,94055,91885,86917,107560,121994,124611,127069,139210,136952,103509,89452,85013,108961,101297,102251,104738,96858
"Frederick, MD",16012,17327,25099,31815,32389,33636,38181,32267,31381,29870,28575,38539,38614,38393,39610,39513,42380,41135,40712,42009,41677,35285,39190,46029,44214,45258,44314,47355
"Fredericksburg, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
